(u'passionate', 0.85801029305772403)
(u'dentist', 0.82817383631355845)
(u'lashes', 0.82697602286594751)
(u'dental', 0.82521736511293398)
(u'knowledgable', 0.81793869999695801)
(u'caring', 0.81675155102705332)
(u'flawless', 0.81606878704644004)
(u'exceeded', 0.8037800348488684)
(u'dr', 0.80172409898738728)
(u'gentle', 0.79474251664264273)
(u'thorough', 0.79087950136946361)
(u'compliments', 0.77586617365265198)
(u'professional', 0.77127629645191931)
(u'impeccable', 0.77092464787241788)
(u'highly', 0.76865924495874172)
(u'incredible', 0.76734193273115636)
(u'remembers', 0.76190040908825907)
(u'skilled', 0.75589019206307206)
(u'talented', 0.7503214256982158)
(u'jeff', 0.74263714974246398)
(u'jessica', 0.73782078570166476)
(u'barber', 0.7360301598235246)
(u'tattoo', 0.72942241747283809)
(u'knowledgeable', 0.72902237667923409)
(u'exquisite', 0.72897413589176274)
(u'phenomenal', 0.72698707740382496)
(u'waxing', 0.72570753347799233)
(u'kevin', 0.72528567740314109)
(u'instructors', 0.72391752876055904)
(u'kelly', 0.7235618687368639)
(u'happier', 0.72223302375039289)
(u'mechanics', 0.72133280716383474)
(u'amazing', 0.71433088397507571)
(u'alex', 0.71096525174078984)
(u'painless', 0.70965199974117255)
(u'rob', 0.70958562402138448)
(u'gem', 0.70697780191616744)
(u'referred', 0.70443942706204865)
(u'pinball', 0.69763179250094787)
(u'brian', 0.69612064539900764)
(u'stylists', 0.6892483387678876)
(u'therapy', 0.68681067298826548)
(u'addicted', 0.6860629811246568)
(u'tint', 0.6812479845167676)
(u'michelle', 0.67402632198489876)
(u'breathtaking', 0.67274668285296357)
(u'ease', 0.67193173806215434)
(u'disappoints', 0.6696938262023675)
(u'perfection', 0.66813871505545208)
(u'yoga', 0.66631856585023286)
(u'melts', 0.66372810357159295)
(u'stylist', 0.66363427830702193)
(u'informative', 0.66283429165948249)
(u'hooked', 0.66268442907852965)
(u'heaven', 0.66223722255876005)
(u'scott', 0.65757098509443423)
(u'wonderful', 0.65612919739757558)
(u'thoughtful', 0.65232353489234995)
(u'personable', 0.64891657759451782)
(u'superb', 0.64832441036235089)
(u'josh', 0.64725186178694472)
(u'salon', 0.64560367613506386)
(u'salons', 0.64471659765116485)
(u'artist', 0.64439491988659547)
(u'pets', 0.64397274164165097)
(u'professionalism', 0.64364170715587044)
(u'grateful', 0.64280163412913183)
(u'magnificent', 0.64154692430160409)
(u'treatments', 0.64002875612355759)
(u'flexible', 0.63921014411628541)
(u'plumbing', 0.63772594199487109)
(u'eric', 0.63768456710735322)
(u'robuchon', 0.63606040208361314)
(u'die', 0.63435228448832071)
(u'joel', 0.63341018290854301)
(u'freshest', 0.62682104508324521)
(u'genuine', 0.62624586553370243)
(u'spotless', 0.62514899478488672)
(u'awesomeness', 0.62330813162314058)
(u'genuinely', 0.62207989571238365)
(u'teachers', 0.62194210721750487)
(u'thank', 0.62008608128503084)
(u'unbelievable', 0.61727156779372017)
(u'finest', 0.6161012161907049)
(u'jennifer', 0.61582391575070972)
(u'heavenly', 0.6156460217941504)
(u'outstanding', 0.61406019533692557)
(u'pleasure', 0.61354720682490438)
(u'lisa', 0.61283042686624967)
(u'dream', 0.61180488485855378)
(u'fabulous', 0.6087206563376597)
(u'pairings', 0.60707540636799528)
(u'haircut', 0.60665282925676856)
(u'ryan', 0.60625492992342878)
(u'fantastic', 0.60577912240992138)
(u'notch', 0.60527016958813817)
(u'eyebrows', 0.60465663443134865)
(u'confidence', 0.60225849362246819)
(u'tim', 0.60178464979252588)
(u'chris', 0.59902137793282328)
(u'brows', 0.59618389891983625)
(u'justin', 0.59468586735590279)
(u'obsessed', 0.59190858232344645)
(u'omg', 0.59141652566391834)
(u'amazingly', 0.59101248155050357)
(u'shave', 0.59074532946122105)
(u'penny', 0.58922066208809731)
(u'instructor', 0.58860857965158786)
(u'repairs', 0.58719068828903609)
(u'confident', 0.58646367989641845)
(u'regret', 0.58614215437874329)
(u'grooming', 0.58589116435256727)
(u'divine', 0.58466678153004104)
(u'magical', 0.58410796620396077)
(u'auto', 0.58230570595966213)
(u'amazed', 0.58078017611128452)
(u'dreams', 0.58055976614786253)
(u'detail', 0.58053411311791869)
(u'bliss', 0.58017206008272026)
(u'wedding', 0.58013150780452705)
(u'pairing', 0.57863849039942394)
(u'massages', 0.57835786311227899)
(u'awe', 0.57774527241613072)
(u'robert', 0.5774338591162671)
(u'truly', 0.57699463705399801)
(u'bouche', 0.57695693969891515)
(u'jason', 0.57674680996522909)
(u'mike', 0.57652336411001848)
(u'stunning', 0.57412946792360309)
(u'classes', 0.57343083898611091)
(u'studio', 0.57293535530881101)
(u'installed', 0.57030741526918227)
(u'coolest', 0.56965593961541927)
(u'muscles', 0.56824860296385182)
(u'importantly', 0.56702027017955281)
(u'respectful', 0.56661480875644266)
(u'nervous', 0.56638712404623881)
(u'awesome', 0.56541170509195027)
(u'vet', 0.56467686908561099)
(u'james', 0.5643491073726068)
(u'repaired', 0.56338664339070732)
(u'warmly', 0.56325441333055259)
(u'wonderfully', 0.56321956608731227)
(u'custom', 0.56220351133348601)
(u'steve', 0.56214584400716916)
(u'beautifully', 0.56195727309485299)
(u'exceptional', 0.56165321415913283)
(u'welcoming', 0.56106016103260714)
(u'clinic', 0.5609533193373224)
(u'repair', 0.55870977559834856)
(u'thankful', 0.55815269252518718)
(u'ideas', 0.55811836557426453)
(u'pride', 0.55704185653757321)
(u'team', 0.55584506411886814)
(u'knowledge', 0.55568931731751015)
(u'professionals', 0.55548916089830769)
(u'passion', 0.55321458640018051)
(u'patient', 0.55286143371450969)
(u'vehicles', 0.55244517425381723)
(u'watering', 0.55233097921286323)
(u'best', 0.55172032056577169)
(u'amy', 0.55070818513093656)
(u'flowers', 0.54975065843130899)
(u'amuse', 0.54931120443502657)
(u'ashley', 0.54910891221057767)
(u'andy', 0.54874082236666766)
(u'matt', 0.54781943908680653)
(u'perfect', 0.54634009104869108)
(u'anniversary', 0.54557054655181147)
(u'anthony', 0.54541668039914271)
(u'jim', 0.54521469049183047)
(u'absolute', 0.54491388881985436)
(u'taught', 0.54424533583595291)
(u'ceremony', 0.54249688692214981)
(u'creations', 0.54038932117114236)
(u'technique', 0.5403695935309436)
(u'mechanic', 0.54027011578900641)
(u'soothing', 0.54019057832470274)
(u'crafted', 0.54001379804824623)
(u'tremendous', 0.53990040484037927)
(u'vision', 0.53844097459076501)
(u'delectable', 0.53764705397048473)
(u'hesitate', 0.53731556520495261)
(u'paul', 0.53546930570878182)
(u'beatles', 0.53531780203452684)
(u'friendliest', 0.53398295567734344)
(u'hands', 0.53357855600490645)
(u'results', 0.533330360316425)
(u'joy', 0.53303499506297669)
(u'chapel', 0.53285777619366392)
(u'wellington', 0.53257944667502244)
(u'operated', 0.53146747842325226)
(u'justice', 0.53094340785039762)
(u'courteous', 0.5308042643275499)
(u'trust', 0.53047682268792329)
(u'welcomed', 0.52971185165658774)
(u'italy', 0.52968876784689378)
(u'eddie', 0.52816917003685226)
(u'trails', 0.52727803302519405)
(u'suggestions', 0.52678957301376528)
(u'favorite', 0.52625887097399104)
(u'sarah', 0.52621222224989239)
(u'peaceful', 0.52507284226434692)
(u'companies', 0.52496306286770356)
(u'love', 0.52465250573812483)
(u'cares', 0.52433995607051287)
(u'adore', 0.52119414079339066)
(u'deliciousness', 0.52057451122729859)
(u'trainers', 0.52007605635439091)
(u'cats', 0.52003458298816696)
(u'fortunate', 0.5192569938843441)
(u'artists', 0.51837711430338906)
(u'clients', 0.51774751966263821)
(u'surgery', 0.51771136515779936)
(u'proud', 0.51715199822796976)
(u'photographer', 0.51660006771158606)
(u'unbelievably', 0.51514977238806026)
(u'skill', 0.51365407850587985)
(u'thanks', 0.51358514076816775)
(u'bridal', 0.51293843121090887)
(u'absolutely', 0.51198895508274678)
(u'gorgeous', 0.51115792809467564)
(u'cheers', 0.50978806229147011)
(u'introduced', 0.50923168086417903)
(u'rick', 0.50884471834492473)
(u'master', 0.5088058639995765)
(u'addictive', 0.5082460851062649)
(u'nicest', 0.50797791619471688)
(u'nick', 0.50779032222690823)
(u'stress', 0.50762084159510223)
(u'gracious', 0.50685696793803281)
(u'detailed', 0.5066753575070404)
(u'listened', 0.50660732732104918)
(u'makeup', 0.50647418772235575)
(u'adam', 0.50481320172161226)
(u'smiling', 0.50473290216932476)
(u'recommendations', 0.50378770190343758)
(u'bike', 0.50329418241271284)
(u'recommend', 0.50299774008644516)
(u'workout', 0.50293751759796201)
(u'brilliant', 0.50246542512829961)
(u'sessions', 0.50194351561213679)
(u'doctors', 0.50033360286179906)
(u'terrific', 0.50011384071724763)
(u'delight', 0.49870751482883335)
(u'talent', 0.4986597992687507)
(u'eyebrow', 0.49838558755478957)
(u'installation', 0.49760841608178907)
(u'todd', 0.49655577721057398)
(u'david', 0.49517257732175857)
