(u'unprofessional', 1.315303878262112)
(u'refund', 1.302593080637287)
(u'rudely', 1.2860813593058005)
(u'scam', 1.2725022882257893)
(u'incompetent', 1.2724560892467771)
(u'poisoning', 1.2480709950183826)
(u'worst', 1.2419589631304033)
(u'disgusted', 1.2346793248873045)
(u'refused', 1.2235520999454739)
(u'apology', 1.2211749042066344)
(u'cox', 1.2198221569923895)
(u'insult', 1.2170136026081337)
(u'disgusting', 1.2066956175334766)
(u'unacceptable', 1.2025282066114009)
(u'filthy', 1.1994767389973244)
(u'supervisor', 1.199042059136664)
(u'horrible', 1.1890306378274884)
(u'tasteless', 1.1792318871432137)
(u'cancel', 1.1711629976534947)
(u'inedible', 1.1703004659436935)
(u'rude', 1.1676493763671303)
(u'lied', 1.1674120793678249)
(u'pathetic', 1.1477170454762717)
(u'condescending', 1.1318851246117418)
(u'awful', 1.1303569136848211)
(u'cancelled', 1.1260002883102711)
(u'microwaved', 1.1254782354021735)
(u'lousy', 1.1196171436793509)
(u'terrible', 1.1152181615932539)
(u'poorly', 1.1036872778094384)
(u'downhill', 1.0987529305604262)
(u'redeeming', 1.0987294489406629)
(u'flavorless', 1.0983641766506356)
(u'acted', 1.0941863304737947)
(u'response', 1.0853245996452596)
(u'ignored', 1.0838384359689357)
(u'contract', 1.0833010202916018)
(u'reply', 1.0781650976537644)
(u'waste', 1.0713957783852113)
(u'unfriendly', 1.0633474042437978)
(u'excuses', 1.0601700956102924)
(u'yelled', 1.0584737423621142)
(u'horrendous', 1.0568379966571104)
(u'acknowledge', 1.0567153717520963)
(u'replied', 1.0515160769303922)
(u'billing', 1.0481945290485708)
(u'nerve', 1.0463956666374443)
(u'zero', 1.0419694777020236)
(u'disaster', 1.0355470131942948)
(u'pissed', 1.0331427391040933)
(u'file', 1.0310764059288342)
(u'worse', 1.0308706379022343)
(u'horribly', 1.0250919408330681)
(u'acknowledged', 1.024848148491726)
(u'poor', 1.0246640316383768)
(u'stolen', 1.0206294764301287)
(u'lease', 1.0196621707497293)
(u'yuck', 1.0179807846254167)
(u'false', 1.0118715452515108)
(u'apologies', 1.0038480740069371)
(u'mold', 1.0038421776240742)
(u'stating', 1.0010940669901327)
(u'apologize', 1.0008254006854092)
(u'wtf', 0.99933804561368866)
(u'meanwhile', 0.99808485236595423)
(u'manager', 0.99763729561621073)
(u'messages', 0.98817182389778857)
(u'frustration', 0.98743403740512292)
(u'nasty', 0.98674765240662232)
(u'proceeded', 0.98643126209667997)
(u'stale', 0.98332584396762179)
(u'inform', 0.9832250841422514)
(u'ruined', 0.97726859989879422)
(u'gross', 0.97640145439976145)
(u'charged', 0.97479511871276969)
(u'letter', 0.97347984312827052)
(u'incorrect', 0.97347541608701782)
(u'frustrated', 0.96843739867845713)
(u'screwed', 0.96824455157713452)
(u'deposit', 0.96821855322323813)
(u'shitty', 0.96502758742793837)
(u'upset', 0.96174171750414317)
(u'behavior', 0.95916880582391961)
(u'garbage', 0.95904093473117946)
(u'lukewarm', 0.95631728613416023)
(u'unimpressed', 0.95174702169529191)
(u'confirmation', 0.9509767467887329)
(u'complained', 0.94606199874324481)
(u'receipt', 0.94434396274606591)
(u'expired', 0.94369179350853294)
(u'attempted', 0.94035462873247866)
(u'rip', 0.94027671373769905)
(u'unhappy', 0.93760896840335661)
(u'miserable', 0.93535391066404117)
(u'inattentive', 0.93099439915182636)
(u'repeated', 0.9300914532121034)
(u'dump', 0.92694907885343447)
(u'irritated', 0.92602489873188532)
(u'subpar', 0.92558806241789426)
(u'management', 0.92134996008238446)
(u'incident', 0.92114006378785263)
(u'airline', 0.91882460871283023)
(u'responded', 0.91410977008986904)
(u'claimed', 0.91382602914625544)
(u'clueless', 0.91334060717855792)
(u'mediocre', 0.91170255950708068)
(u'policy', 0.91056021319666058)
(u'trash', 0.90955894178443586)
(u'wasting', 0.90420675334259748)
(u'unpleasant', 0.90251152516004041)
(u'severely', 0.9000213529643144)
(u'stained', 0.89907296975917284)
(u'mistakes', 0.89792833714298936)
(u'ugh', 0.89425668339846354)
(u'tells', 0.89219567592973092)
(u'nope', 0.89066761595476329)
(u'stains', 0.89007136071077575)
(u'inconvenience', 0.88928607544050742)
(u'undercooked', 0.88736139117852275)
(u'police', 0.8829222601635518)
(u'disorganized', 0.88220219606143324)
(u'explanation', 0.88026178039307901)
(u'told', 0.87987155102553327)
(u'edible', 0.8774090859459438)
(u'dirty', 0.87627953378171775)
(u'excuse', 0.87620832402807025)
(u'attitude', 0.87585538931660523)
(u'sucked', 0.87482366344317164)
(u'joke', 0.87286631185595631)
(u'yelling', 0.87190517773640153)
(u'reheated', 0.87022669565321564)
(u'existent', 0.86980971853004974)
(u'bland', 0.86951031990424887)
(u'charges', 0.8686027542538266)
(u'stated', 0.86679091583361156)
(u'ripped', 0.8667878341257218)
(u'salesman', 0.86669578907713785)
(u'contact', 0.86575265102614019)
(u'clerk', 0.86569228602998649)
(u'mistake', 0.86470167878016468)
(u'cardboard', 0.86462397948502989)
(u'calls', 0.86409386450224979)
(u'idiot', 0.86203645244365212)
(u'motel', 0.86171331505941851)
(u'rep', 0.86166589033898866)
(u'depressing', 0.86121648918936877)
(u'payment', 0.86055476328554015)
(u'repeatedly', 0.85877940996489777)
(u'sucks', 0.85428120968204091)
(u'disappointment', 0.85427718968341537)
(u'drain', 0.85255078879957402)
(u'injury', 0.85118266901983475)
(u'embarrassed', 0.85116627483812834)
(u'politely', 0.84988601354270088)
(u'messed', 0.84677051842826323)
(u'screw', 0.84598647556210338)
(u'declined', 0.84593654582037381)
(u'wasted', 0.84566135341229653)
(u'useless', 0.84518798676153928)
(u'rubber', 0.84353084054861682)
(u'bugs', 0.84328803816971387)
(u'apologized', 0.84070732610111598)
(u'rubbery', 0.83969528117625813)
(u'annoyed', 0.83761993515231836)
(u'crappy', 0.83663025968594873)
(u'strike', 0.8362448949763035)
(u'arrogant', 0.83546375589383537)
(u'contacted', 0.83274149748012327)
(u'luke', 0.83033244769339198)
(u'sorry', 0.82983771574209442)
(u'whatsoever', 0.82867745014972272)
(u'disappointing', 0.82788307233014002)
(u'account', 0.82568500268401479)
(u'gratuity', 0.82449888155522366)
(u'loudly', 0.82326649874203106)
(u'stared', 0.82295169036503069)
(u'refuse', 0.82017902728951064)
(u'wiped', 0.82002408061668142)
(u'damaged', 0.81956546760158488)
(u'overrated', 0.81922871247227569)
(u'spoke', 0.81768584883487172)
(u'waited', 0.81739800484767322)
(u'hopes', 0.81697501830528907)
(u'insurance', 0.81566740107453484)
(u'burned', 0.81451825262411859)
(u'rang', 0.8126118902946633)
(u'nightmare', 0.81254545418587476)
(u'agent', 0.81077917608241101)
(u'burnt', 0.81051800537452934)
(u'continued', 0.80872303605739049)
(u'amazon', 0.8083368518905214)
(u'employee', 0.80832263619840816)
(u'message', 0.80604698225265459)
(u'limp', 0.80539238727021001)
(u'understaffed', 0.80143141330117551)
(u'transaction', 0.7990032358796153)
(u'asked', 0.79690537742231538)
(u'confirmed', 0.79632786008972367)
(u'flag', 0.79394700318181854)
(u'spit', 0.79274110410919718)
(u'prescription', 0.79163696405567308)
(u'lackluster', 0.79130947849960087)
(u'informed', 0.79000268911803673)
(u'angry', 0.78899741166249626)
(u'straw', 0.7884726239402795)
(u'argue', 0.7882162923905085)
(u'broken', 0.78578208430749186)
(u'failed', 0.78547777792265272)
(u'supposed', 0.78218581124775532)
(u'clue', 0.78144141835745806)
(u'phone', 0.77947237405368419)
(u'bouncer', 0.7787041317686576)
(u'asks', 0.77628214724454914)
(u'honor', 0.77550650104529062)
(u'disappeared', 0.77534748644619533)
(u'managers', 0.77266794243862869)
(u'remove', 0.7720263939519203)
(u'charging', 0.77063316452034059)
(u'badly', 0.7705923385144704)
(u'engine', 0.77014115514869452)
(u'filter', 0.76671834452269749)
(u'apologetic', 0.76628863920427825)
(u'bug', 0.76516495552914598)
(u'respond', 0.7643424114890891)
(u'advertise', 0.76312970350870835)
(u'sent', 0.76213692282258094)
(u'paperwork', 0.75876264811584093)
(u'approached', 0.75859224232579692)
(u'indicated', 0.75812450907388396)
(u'bs', 0.75750162144581168)
(u'lying', 0.75671620509737281)
(u'overpriced', 0.75481364150066987)
(u'attempts', 0.75420382166362288)
(u'silverware', 0.75222836538100246)
(u'fuck', 0.75149430186623078)
(u'needless', 0.74813656756601432)
(u'fail', 0.74613367711821255)
(u'sick', 0.74529176210189441)
(u'wipe', 0.74406414176288926)
(u'caused', 0.74369223901116932)
(u'threw', 0.74364726779428025)
(u'error', 0.74293928795126618)
(u'paid', 0.74141664457515866)
(u'overcooked', 0.73988331518704697)
(u'stupid', 0.73949043910310763)
(u'locked', 0.73894912184889172)
